User_Idx,Book_Idx,Book-Rating
165778,244115,3
165778,244116,6
165790,4743,9
165790,1819,9
165790,6221,8
165790,244117,7
165790,244118,7
165791,119572,6
165795,1967,8
165796,102,5
165803,7751,5
165803,4848,8
165811,66754,9
165820,244127,8
165820,116617,6
165827,166,5
165828,117190,5
165828,81505,7
165828,3194,6
165830,244132,7
165833,16634,8
165837,46197,10
165840,5680,10
165841,28351,8
165841,76164,8
165841,162891,6
165841,94485,6
165841,244137,8
165842,83163,8
165842,14684,9
165850,16934,10
165850,33970,9
165850,176325,10
165850,231298,9
165850,1012,9
165850,27282,10
165850,114293,6
165850,79963,8
165850,87597,9
165850,15461,10
165850,50283,10
165850,213959,8
165850,139038,10
165864,37432,8
165864,50830,8
165864,14312,7
165864,82158,10
165864,88786,8
165864,244142,9
165864,8203,10
165864,52350,9
165864,52349,8
165864,29617,7
165864,5681,10
165864,5005,8
165864,26564,10
165864,37412,7
165864,124149,9
165864,13492,6
165864,5175,7
165864,66912,9
165864,244143,7
165864,208622,6
165864,244145,8
165864,112941,10
165864,34271,10
165864,48812,10
165864,34272,10
165864,34273,10
165864,113591,9
165864,244146,7
165864,51484,10
165864,51483,10
165864,51481,10
165864,244147,8
165864,244148,10
165866,11029,7
165869,131193,1
165869,244150,7
165870,52302,5
165874,10687,10
165874,244160,8
165874,132913,6
165874,244161,9
165874,51484,9
165874,51483,9
165874,51481,9
165874,244162,8
165877,77541,3
165877,119061,8
165877,79133,9
165877,69736,7
165877,244166,3
165877,244167,5
165877,119052,4
165877,52801,8
165877,244168,7
165877,244169,5
165877,244170,5
165882,55108,8
165882,9452,8
165882,24866,7
165882,222968,10
165895,2861,10
165901,69920,8
165901,109796,5
165906,229557,8
165906,7152,9
165906,21992,9
165907,244174,6
165915,3711,10
165915,23886,6
165915,244176,5
165915,735,8
165915,41687,8
165915,244177,9
165915,73976,6
165915,244185,8
165915,108965,5
165915,76081,5
165915,119062,9
165915,53160,8
165915,131209,8
165915,4315,10
165917,244192,5
165918,4171,5
165918,131171,7
165918,24194,10
165918,66013,10
165918,7230,10
165919,21702,5
165919,236094,5
165919,85552,10
165919,221948,8
165919,244196,8
165919,3500,5
165919,244197,3
165919,162099,5
165919,132332,5
165919,67471,6
165919,244199,7
165919,5630,10
165919,12610,2
165919,183108,8
165919,192064,5
165919,244202,7
165919,21747,5
165919,21746,6
165923,150467,6
165923,3201,5
165923,43269,3
165925,173859,7
165925,5314,7
165925,805,9
165925,10468,9
165925,62889,9
165925,102873,9
165925,15643,9
165925,244204,9
165925,44936,10
165925,27966,8
165936,244206,8
165936,37,10
165936,14002,7
165937,71934,10
165944,49305,6
165944,81324,10
165944,7019,10
165944,44074,10
165944,244207,10
165944,15254,9
165944,5244,5
165944,5503,9
165944,34679,6
165944,1967,8
165944,86907,5
165944,2231,10
165944,54970,8
165944,6501,7
165944,66507,8
165944,16156,8
165944,16158,9
165944,16159,10
165944,62224,7
165959,181793,9
165959,80647,9
165959,82730,10
165959,61053,9
165959,61044,9
165959,13124,9
165959,11564,9
165959,81036,9
165959,61039,10
165959,19787,10
165959,132279,9
165959,2663,9
165959,136812,9
165959,159854,9
165961,660,10
165961,4690,10
165961,9842,10
165961,16591,10
165967,151912,10
165967,106265,8
165967,244208,4
165967,8769,6
165967,203014,5
165967,150353,9
165967,34589,4
165967,244210,2
165967,4586,7
165967,182607,6
165967,244211,9
165967,9440,6
165967,52409,6
165967,5064,2
165967,350,8
165970,1462,8
165970,46228,7
165972,244212,6
165976,4528,9
165979,19059,9
165979,17070,5
165979,105740,10
165983,1521,7
165983,101493,7
165983,244213,8
165988,186509,6
165997,2236,9
165997,3242,9
165997,36863,10
166006,10298,7
166008,69868,8
166008,244215,6
166008,6292,10
166008,1266,10
166008,3896,7
166008,63049,9
166008,79197,7
166008,222264,3
166010,36072,6
166013,81543,7
166021,81059,4
